notch,notchdesc,srg,srgdesc,mcp,mcpdesc
eo/b,(ILjava/lang/Class;)Leo;,net/minecraft/network/EnumConnectionState/func_150756_b,(ILjava/lang/Class;)Lnet/minecraft/network/EnumConnectionState;,net/minecraft/network/EnumConnectionState/func_150756_b,(ILjava/lang/Class;)Lnet/minecraft/network/EnumConnectionState;
bdq/a,(Ljava/lang/String;Ladb;Lahu;Ljava/util/List;[Last;)V,net/minecraft/client/gui/GuiFlatPresets/func_146421_a,(Ljava/lang/String;Lnet/minecraft/item/Item;Lnet/minecraft/world/biome/BiomeGenBase;Ljava/util/List;[Lnet/minecraft/world/gen/FlatLayerInfo;)V,net/minecraft/client/gui/GuiFlatPresets/func_146421_a,(Ljava/lang/String;Lnet/minecraft/item/Item;Lnet/minecraft/world/biome/BiomeGenBase;Ljava/util/List;[Lnet/minecraft/world/gen/FlatLayerInfo;)V
ajz/a,(Lahb;IIIZ)Z,net/minecraft/block/BlockCocoa/func_149851_a,(Lnet/minecraft/world/World;IIIZ)Z,net/minecraft/block/BlockCocoa/func_149851_a,(Lnet/minecraft/world/World;IIIZ)Z
xv/a,(IIIZ)V,net/minecraft/entity/item/EntityMinecartTNT/func_96095_a,(IIIZ)V,net/minecraft/entity/item/EntityMinecartTNT/onActivatorRailPass,(IIIZ)V
azy/a,(I)V,net/minecraft/scoreboard/ScorePlayerTeam/func_98298_a,(I)V,net/minecraft/scoreboard/ScorePlayerTeam/func_98298_a,(I)V
bkn/a,(Lahb;)V,net/minecraft/client/particle/EffectRenderer/func_78870_a,(Lnet/minecraft/world/World;)V,net/minecraft/client/particle/EffectRenderer/clearEffects,(Lnet/minecraft/world/World;)V
df/a,()B,net/minecraft/nbt/NBTTagByteArray/func_74732_a,()B,net/minecraft/nbt/NBTTagByteArray/getId,()B
akm/b,(I)Lcr;,net/minecraft/block/BlockDispenser/func_149937_b,(I)Lnet/minecraft/util/EnumFacing;,net/minecraft/block/BlockDispenser/func_149937_b,(I)Lnet/minecraft/util/EnumFacing;
yf/al,()Z,net/minecraft/entity/monster/EntityMagmaCube/func_70027_ad,()Z,net/minecraft/entity/monster/EntityMagmaCube/isBurning,()Z
ben/a,(IILbmh;)V,net/minecraft/client/gui/achievement/GuiStats$StatsItem/func_148129_a,(IILnet/minecraft/client/renderer/Tessellator;)V,net/minecraft/client/gui/achievement/GuiStats$StatsItem/drawListHeader,(IILnet/minecraft/client/renderer/Tessellator;)V
aoa/a,(Laji;)Z,net/minecraft/block/BlockPane/func_150098_a,(Lnet/minecraft/block/Block;)Z,net/minecraft/block/BlockPane/canPaneConnectToBlock,(Lnet/minecraft/block/Block;)Z
anu/a,(Laji;)Z,net/minecraft/block/BlockStem/func_149854_a,(Lnet/minecraft/block/Block;)Z,net/minecraft/block/BlockStem/canPlaceBlockOn,(Lnet/minecraft/block/Block;)Z
ahb/c,(IIILaji;II)V,net/minecraft/world/World/func_147452_c,(IIILnet/minecraft/block/Block;II)V,net/minecraft/world/World/addBlockEvent,(IIILnet/minecraft/block/Block;II)V
dq/c,()I,net/minecraft/nbt/NBTTagList/func_74745_c,()I,net/minecraft/nbt/NBTTagList/tagCount,()I
sa/ab,()V,net/minecraft/entity/Entity/func_70098_U,()V,net/minecraft/entity/Entity/updateRidden,()V
bsi/c,()Ljava/util/List;,net/minecraft/client/resources/data/TextureMetadataSection/func_148535_c,()Ljava/util/List;,net/minecraft/client/resources/data/TextureMetadataSection/getListMipmaps,()Ljava/util/List;
ml/a,(III)V,net/minecraft/world/demo/DemoWorldManager/func_73082_a,(III)V,net/minecraft/world/demo/DemoWorldManager/uncheckedTryHarvestBlock,(III)V
apq/d,(Lahb;III)Ladb;,net/minecraft/block/BlockPistonExtension/func_149694_d,(Lnet/minecraft/world/World;III)Lnet/minecraft/item/Item;,net/minecraft/block/BlockPistonExtension/getItem,(Lnet/minecraft/world/World;III)Lnet/minecraft/item/Item;
aas/d,(I)Z,net/minecraft/inventory/InventoryMerchant/func_70469_d,(I)Z,net/minecraft/inventory/InventoryMerchant/inventoryResetNeededOnSlotChange,(I)Z
ss/b,(Lsa;)V,net/minecraft/entity/EntityHanging/func_110128_b,(Lnet/minecraft/entity/Entity;)V,net/minecraft/entity/EntityHanging/onBroken,(Lnet/minecraft/entity/Entity;)V
sa/aa,()Z,net/minecraft/entity/Entity/func_70094_T,()Z,net/minecraft/entity/Entity/isEntityInsideOpaqueBlock,()Z
ahb/b,(IIILaji;II)V,net/minecraft/world/World/func_147446_b,(IIILnet/minecraft/block/Block;II)V,net/minecraft/world/World/func_147446_b,(IIILnet/minecraft/block/Block;II)V
lo/i,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/func_71198_k,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/logDebug,(Ljava/lang/String;)V
bur/a,(Lbtz;J)V,net/minecraft/client/stream/NullStream/func_152911_a,(Lnet/minecraft/client/stream/Metadata;J)V,net/minecraft/client/stream/NullStream/func_152911_a,(Lnet/minecraft/client/stream/Metadata;J)V
fk/deserialize,(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Ljava/lang/Object;,net/minecraft/util/IChatComponent$Serializer/deserialize,(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Ljava/lang/Object;,net/minecraft/util/IChatComponent$Serializer/deserialize,(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Ljava/lang/Object;
bnw/a,(Lsv;DDDFF)V,net/minecraft/client/renderer/entity/RenderBiped/func_76986_a,(Lnet/minecraft/entity/EntityLivingBase;DDDFF)V,net/minecraft/client/renderer/entity/RenderBiped/doRender,(Lnet/minecraft/entity/EntityLivingBase;DDDFF)V
bb/a,()I,net/minecraft/command/server/CommandNetstat/func_82362_a,()I,net/minecraft/command/server/CommandNetstat/getRequiredPermissionLevel,()I
qh/a,(Ljava/lang/String;D)D,net/minecraft/util/MathHelper/func_82712_a,(Ljava/lang/String;D)D,net/minecraft/util/MathHelper/parseDoubleWithDefault,(Ljava/lang/String;D)D
av/a,()I,net/minecraft/command/CommandServerKick/func_82362_a,()I,net/minecraft/command/CommandServerKick/getRequiredPermissionLevel,()I
apk/a,()Lahb;,net/minecraft/tileentity/TileEntityMobSpawner$1/func_98271_a,()Lnet/minecraft/world/World;,net/minecraft/tileentity/TileEntityMobSpawner$1/getSpawnerWorld,()Lnet/minecraft/world/World;
azq/a,(Layl;)V,net/minecraft/world/storage/MapStorage/func_75747_a,(Lnet/minecraft/world/WorldSavedData;)V,net/minecraft/world/storage/MapStorage/saveData,(Lnet/minecraft/world/WorldSavedData;)V
ays/b,(Lays;)Z,net/minecraft/world/storage/WorldInfo/access$100,(Lnet/minecraft/world/storage/WorldInfo;)Z,net/minecraft/world/storage/WorldInfo/access$100,(Lnet/minecraft/world/storage/WorldInfo;)Z
lo/h,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/func_71201_j,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/logSevere,(Ljava/lang/String;)V
bue/chatStatusCallback,(Ltv/twitch/ErrorCode;)V,net/minecraft/client/stream/ChatController/chatStatusCallback,(Ltv/twitch/ErrorCode;)V,net/minecraft/client/stream/ChatController/chatStatusCallback,(Ltv/twitch/ErrorCode;)V
bdk/a,(IZII)V,net/minecraft/client/gui/GuiLanguage$List/func_148144_a,(IZII)V,net/minecraft/client/gui/GuiLanguage$List/elementClicked,(IZII)V
aik/a,(Lahb;Ljava/util/Random;II)V,net/minecraft/world/biome/BiomeGenJungle/func_76728_a,(Lnet/minecraft/world/World;Ljava/util/Random;II)V,net/minecraft/world/biome/BiomeGenJungle/decorate,(Lnet/minecraft/world/World;Ljava/util/Random;II)V
ays/d,(Lays;)I,net/minecraft/world/storage/WorldInfo/access$300,(Lnet/minecraft/world/storage/WorldInfo;)I,net/minecraft/world/storage/WorldInfo/access$300,(Lnet/minecraft/world/storage/WorldInfo;)I
bcm/a,(IIF)V,net/minecraft/client/gui/GuiSlot/func_148128_a,(IIF)V,net/minecraft/client/gui/GuiSlot/drawScreen,(IIF)V
ayf/b,(Lazw;)Z,net/minecraft/pathfinding/PathEntity/func_75880_b,(Lnet/minecraft/util/Vec3;)Z,net/minecraft/pathfinding/PathEntity/isDestinationSame,(Lnet/minecraft/util/Vec3;)Z
bnl/a,(Lsv;DDDFF)V,net/minecraft/client/renderer/entity/RenderDragon/func_76986_a,(Lnet/minecraft/entity/EntityLivingBase;DDDFF)V,net/minecraft/client/renderer/entity/RenderDragon/doRender,(Lnet/minecraft/entity/EntityLivingBase;DDDFF)V
lp/a,(Ljava/lang/String;Ljava/lang/String;)Z,net/minecraft/scoreboard/ServerScoreboard/func_151392_a,(Ljava/lang/String;Ljava/lang/String;)Z,net/minecraft/scoreboard/ServerScoreboard/func_151392_a,(Ljava/lang/String;Ljava/lang/String;)Z
pt/a,(Ljava/security/PrivateKey;[B)Ljavax/crypto/SecretKey;,net/minecraft/util/CryptManager/func_75887_a,(Ljava/security/PrivateKey;[B)Ljavax/crypto/SecretKey;,net/minecraft/util/CryptManager/decryptSharedKey,(Ljava/security/PrivateKey;[B)Ljavax/crypto/SecretKey;
ahb/d,(IIILaji;II)Z,net/minecraft/world/World/func_147465_d,(IIILnet/minecraft/block/Block;II)Z,net/minecraft/world/World/setBlock,(IIILnet/minecraft/block/Block;II)Z
axn/a,(II)Z,net/minecraft/world/gen/layer/GenLayer/func_151616_a,(II)Z,net/minecraft/world/gen/layer/GenLayer/compareBiomesById,(II)Z
et/discardReadBytes,()Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/discardReadBytes,()Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/discardReadBytes,()Lio/netty/buffer/ByteBuf;
bm/a,()I,net/minecraft/command/server/CommandSetBlock/func_82362_a,()I,net/minecraft/command/server/CommandSetBlock/getRequiredPermissionLevel,()I
beb/a,(IZII)V,net/minecraft/client/gui/GuiSnooper$List/func_148144_a,(IZII)V,net/minecraft/client/gui/GuiSnooper$List/elementClicked,(IZII)V
net/minecraft/realms/RealmsLevelSummary/getLevelName,()Ljava/lang/String;,net/minecraft/realms/RealmsLevelSummary/getLevelName,()Ljava/lang/String;,net/minecraft/realms/RealmsLevelSummary/getLevelName,()Ljava/lang/String;
us/a,(Lvz;)Lvy;,net/minecraft/entity/ai/EntityAIMoveThroughVillage/func_75412_a,(Lnet/minecraft/village/Village;)Lnet/minecraft/village/VillageDoorInfo;,net/minecraft/entity/ai/EntityAIMoveThroughVillage/func_75412_a,(Lnet/minecraft/village/Village;)Lnet/minecraft/village/VillageDoorInfo;
yf/bR,()I,net/minecraft/entity/monster/EntityMagmaCube/func_70806_k,()I,net/minecraft/entity/monster/EntityMagmaCube/getJumpDelay,()I
blk/a,(Lagp;)V,net/minecraft/client/entity/EntityPlayerSP/func_146095_a,(Lnet/minecraft/command/server/CommandBlockLogic;)V,net/minecraft/client/entity/EntityPlayerSP/func_146095_a,(Lnet/minecraft/command/server/CommandBlockLogic;)V
bx/a,()I,net/minecraft/command/server/CommandTestForBlock/func_82362_a,()I,net/minecraft/command/server/CommandTestForBlock/getRequiredPermissionLevel,()I
lo/f,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/func_71236_h,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/logWarning,(Ljava/lang/String;)V
aju/a,(Lahl;III)V,net/minecraft/block/BlockCake/func_149719_a,(Lnet/minecraft/world/IBlockAccess;III)V,net/minecraft/block/BlockCake/setBlockBoundsBasedOnState,(Lnet/minecraft/world/IBlockAccess;III)V
bde/a,(III)V,net/minecraft/client/gui/GuiScreenServerList/func_73864_a,(III)V,net/minecraft/client/gui/GuiScreenServerList/mouseClicked,(III)V
bfy/a,(FII)V,net/minecraft/client/gui/inventory/GuiDispenser/func_146976_a,(FII)V,net/minecraft/client/gui/inventory/GuiDispenser/drawGuiContainerBackgroundLayer,(FII)V
ahz/a,(II)Lahu;,net/minecraft/world/biome/BiomeCache$Block/func_76885_a,(II)Lnet/minecraft/world/biome/BiomeGenBase;,net/minecraft/world/biome/BiomeCache$Block/getBiomeGenAt,(II)Lnet/minecraft/world/biome/BiomeGenBase;
yz/a,(Lro;)V,net/minecraft/entity/player/EntityPlayer/func_70645_a,(Lnet/minecraft/util/DamageSource;)V,net/minecraft/entity/player/EntityPlayer/onDeath,(Lnet/minecraft/util/DamageSource;)V
bem/a,(IZII)V,net/minecraft/client/gui/achievement/GuiStats$StatsGeneral/func_148144_a,(IZII)V,net/minecraft/client/gui/achievement/GuiStats$StatsGeneral/elementClicked,(IZII)V
xi/a,(DZ)V,net/minecraft/entity/item/EntityBoat/func_70064_a,(DZ)V,net/minecraft/entity/item/EntityBoat/updateFallState,(DZ)V
yq/aV,()I,net/minecraft/entity/monster/EntityZombie/func_70658_aO,()I,net/minecraft/entity/monster/EntityZombie/getTotalArmorValue,()I
et/resetReaderIndex,()Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/resetReaderIndex,()Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/resetReaderIndex,()Lio/netty/buffer/ByteBuf;
anl/a,(Lahb;IIILaji;I)V,net/minecraft/block/BlockSkull/func_149749_a,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;I)V,net/minecraft/block/BlockSkull/breakBlock,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;I)V
lo/e,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/func_71244_g,(Ljava/lang/String;)V,net/minecraft/network/rcon/IServer/logInfo,(Ljava/lang/String;)V
ays/g,(Lays;)J,net/minecraft/world/storage/WorldInfo/access$600,(Lnet/minecraft/world/storage/WorldInfo;)J,net/minecraft/world/storage/WorldInfo/access$600,(Lnet/minecraft/world/storage/WorldInfo;)J
apz/a,(IIII)V,net/minecraft/world/chunk/storage/ExtendedBlockStorage/func_76654_b,(IIII)V,net/minecraft/world/chunk/storage/ExtendedBlockStorage/setExtBlockMetadata,(IIII)V
aoi/a,(Lahl;III)V,net/minecraft/block/BlockWall/func_149719_a,(Lnet/minecraft/world/IBlockAccess;III)V,net/minecraft/block/BlockWall/setBlockBoundsBasedOnState,(Lnet/minecraft/world/IBlockAccess;III)V
wh/aU,()Ljava/lang/String;,net/minecraft/entity/passive/EntityCow/func_70673_aS,()Ljava/lang/String;,net/minecraft/entity/passive/EntityCow/getDeathSound,()Ljava/lang/String;
yf/bS,()V,net/minecraft/entity/monster/EntityMagmaCube/func_70808_l,()V,net/minecraft/entity/monster/EntityMagmaCube/alterSquishAmount,()V
amy/a,(Lrg;)V,net/minecraft/block/BlockRail/func_149651_a,(Lnet/minecraft/client/renderer/texture/IIconRegister;)V,net/minecraft/block/BlockRail/registerBlockIcons,(Lnet/minecraft/client/renderer/texture/IIconRegister;)V
ana/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockRedstoneWire/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockRedstoneWire/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
amb/a,(II)Lrf;,net/minecraft/block/BlockSilverfish/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockSilverfish/getIcon,(II)Lnet/minecraft/util/IIcon;
bma/a,(Lsv;Lbmv;F)V,net/minecraft/client/renderer/RenderGlobal/func_147589_a,(Lnet/minecraft/entity/EntityLivingBase;Lnet/minecraft/client/renderer/culling/ICamera;F)V,net/minecraft/client/renderer/RenderGlobal/renderEntities,(Lnet/minecraft/entity/EntityLivingBase;Lnet/minecraft/client/renderer/culling/ICamera;F)V
api/a,(Lrb;Ladd;II)Z,net/minecraft/tileentity/TileEntityHopper/func_145885_a,(Lnet/minecraft/inventory/IInventory;Lnet/minecraft/item/ItemStack;II)Z,net/minecraft/tileentity/TileEntityHopper/func_145885_a,(Lnet/minecraft/inventory/IInventory;Lnet/minecraft/item/ItemStack;II)Z
apz/b,(IIII)V,net/minecraft/world/chunk/storage/ExtendedBlockStorage/func_76657_c,(IIII)V,net/minecraft/world/chunk/storage/ExtendedBlockStorage/setExtSkylightValue,(IIII)V
nh/c,(Ljava/lang/String;)V,net/minecraft/network/NetHandlerPlayServer/func_147360_c,(Ljava/lang/String;)V,net/minecraft/network/NetHandlerPlayServer/kickPlayerFromServer,(Ljava/lang/String;)V
ays/h,(Lays;)J,net/minecraft/world/storage/WorldInfo/access$700,(Lnet/minecraft/world/storage/WorldInfo;)J,net/minecraft/world/storage/WorldInfo/access$700,(Lnet/minecraft/world/storage/WorldInfo;)J
buu/d,(II)Ljava/lang/String;,net/minecraft/client/renderer/OpenGlHelper/func_153158_d,(II)Ljava/lang/String;,net/minecraft/client/renderer/OpenGlHelper/func_153158_d,(II)Ljava/lang/String;
wh/aT,()Ljava/lang/String;,net/minecraft/entity/passive/EntityCow/func_70621_aR,()Ljava/lang/String;,net/minecraft/entity/passive/EntityCow/getHurtSound,()Ljava/lang/String;
bsd/a,()Ljava/lang/String;,net/minecraft/client/resources/data/FontMetadataSectionSerializer/func_110483_a,()Ljava/lang/String;,net/minecraft/client/resources/data/FontMetadataSectionSerializer/getSectionName,()Ljava/lang/String;
amb/b,(I)Lorg/apache/commons/lang3/tuple/ImmutablePair;,net/minecraft/block/BlockSilverfish/func_150197_b,(I)Lorg/apache/commons/lang3/tuple/ImmutablePair;,net/minecraft/block/BlockSilverfish/func_150197_b,(I)Lorg/apache/commons/lang3/tuple/ImmutablePair;
ayv/call,()Ljava/lang/Object;,net/minecraft/world/storage/WorldInfo$3/call,()Ljava/lang/Object;,net/minecraft/world/storage/WorldInfo$3/call,()Ljava/lang/Object;
net/minecraft/realms/RealmsScreen/fontWidth,(Ljava/lang/String;)I,net/minecraft/realms/RealmsScreen/fontWidth,(Ljava/lang/String;)I,net/minecraft/realms/RealmsScreen/fontWidth,(Ljava/lang/String;)I
amx/a,(II)Lrf;,net/minecraft/block/BlockQuartz/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockQuartz/getIcon,(II)Lnet/minecraft/util/IIcon;
atj/a,(Ljava/util/List;Ljava/util/Random;IIIII)Latj;,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor3/func_74982_a,(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor3;,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor3/createValidComponent,(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor3;
btp/a,(Lw;F)V,net/minecraft/client/audio/SoundHandler/func_147684_a,(Lnet/minecraft/client/audio/SoundCategory;F)V,net/minecraft/client/audio/SoundHandler/setSoundLevel,(Lnet/minecraft/client/audio/SoundCategory;F)V
api/b,(Lrb;Ladd;II)Z,net/minecraft/tileentity/TileEntityHopper/func_145890_b,(Lnet/minecraft/inventory/IInventory;Lnet/minecraft/item/ItemStack;II)Z,net/minecraft/tileentity/TileEntityHopper/func_145890_b,(Lnet/minecraft/inventory/IInventory;Lnet/minecraft/item/ItemStack;II)Z
nh/d,(Ljava/lang/String;)V,net/minecraft/network/NetHandlerPlayServer/func_147361_d,(Ljava/lang/String;)V,net/minecraft/network/NetHandlerPlayServer/handleSlashCommand,(Ljava/lang/String;)V
aki/a,(II)Lrf;,net/minecraft/block/BlockRailDetector/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockRailDetector/getIcon,(II)Lnet/minecraft/util/IIcon;
buu/e,(II)Ljava/lang/String;,net/minecraft/client/renderer/OpenGlHelper/func_153166_e,(II)Ljava/lang/String;,net/minecraft/client/renderer/OpenGlHelper/func_153166_e,(II)Ljava/lang/String;
ays/e,(Lays;)I,net/minecraft/world/storage/WorldInfo/access$400,(Lnet/minecraft/world/storage/WorldInfo;)I,net/minecraft/world/storage/WorldInfo/access$400,(Lnet/minecraft/world/storage/WorldInfo;)I
mx/a,(Lyz;Lahb;Ladd;IIIIFFF)Z,net/minecraft/server/management/ItemInWorldManager/func_73078_a,(Lnet/minecraft/entity/player/EntityPlayer;Lnet/minecraft/world/World;Lnet/minecraft/item/ItemStack;IIIIFFF)Z,net/minecraft/server/management/ItemInWorldManager/activateBlockOrUseItem,(Lnet/minecraft/entity/player/EntityPlayer;Lnet/minecraft/world/World;Lnet/minecraft/item/ItemStack;IIIIFFF)Z
bsz/a,()Ljava/lang/String;,net/minecraft/server/integrated/IntegratedServer$2/call,()Ljava/lang/String;,net/minecraft/server/integrated/IntegratedServer$2/call,()Ljava/lang/String;
blm/a,(Laji;)V,net/minecraft/client/renderer/RenderBlocks/func_147775_a,(Lnet/minecraft/block/Block;)V,net/minecraft/client/renderer/RenderBlocks/setRenderBoundsFromBlock,(Lnet/minecraft/block/Block;)V
apz/c,(IIII)V,net/minecraft/world/chunk/storage/ExtendedBlockStorage/func_76677_d,(IIII)V,net/minecraft/world/chunk/storage/ExtendedBlockStorage/setExtBlocklightValue,(IIII)V
yq/a,(B)V,net/minecraft/entity/monster/EntityZombie/func_70103_a,(B)V,net/minecraft/entity/monster/EntityZombie/handleHealthUpdate,(B)V
xm/a,(Lro;)V,net/minecraft/entity/item/EntityMinecartChest/func_94095_a,(Lnet/minecraft/util/DamageSource;)V,net/minecraft/entity/item/EntityMinecartChest/killMinecart,(Lnet/minecraft/util/DamageSource;)V
ns/a,(I)Ljava/util/List;,net/minecraft/server/management/PlayerProfileCache/func_152656_a,(I)Ljava/util/List;,net/minecraft/server/management/PlayerProfileCache/func_152656_a,(I)Ljava/util/List;
ayu/call,()Ljava/lang/Object;,net/minecraft/world/storage/WorldInfo$2/call,()Ljava/lang/Object;,net/minecraft/world/storage/WorldInfo$2/call,()Ljava/lang/Object;
qv/a,(Ljava/util/Random;[Lqw;I)Lqw;,net/minecraft/util/WeightedRandom/func_76269_a,(Ljava/util/Random;[Lnet/minecraft/util/WeightedRandom$Item;I)Lnet/minecraft/util/WeightedRandom$Item;,net/minecraft/util/WeightedRandom/getRandomItem,(Ljava/util/Random;[Lnet/minecraft/util/WeightedRandom$Item;I)Lnet/minecraft/util/WeightedRandom$Item;
alw/a,(Lrg;)V,net/minecraft/block/BlockLiquid/func_149651_a,(Lnet/minecraft/client/renderer/texture/IIconRegister;)V,net/minecraft/block/BlockLiquid/registerBlockIcons,(Lnet/minecraft/client/renderer/texture/IIconRegister;)V
beq/a,(Lpf;II)V,net/minecraft/client/gui/achievement/GuiStats$Stats/func_148213_a,(Lnet/minecraft/stats/StatCrafting;II)V,net/minecraft/client/gui/achievement/GuiStats$Stats/func_148213_a,(Lnet/minecraft/stats/StatCrafting;II)V
eo/a,(Lft;)Leo;,net/minecraft/network/EnumConnectionState/func_150752_a,(Lnet/minecraft/network/Packet;)Lnet/minecraft/network/EnumConnectionState;,net/minecraft/network/EnumConnectionState/func_150752_a,(Lnet/minecraft/network/Packet;)Lnet/minecraft/network/EnumConnectionState;
ays/f,(Lays;)I,net/minecraft/world/storage/WorldInfo/access$500,(Lnet/minecraft/world/storage/WorldInfo;)I,net/minecraft/world/storage/WorldInfo/access$500,(Lnet/minecraft/world/storage/WorldInfo;)I
anz/a,(II)Lrf;,net/minecraft/block/BlockTallGrass/func_149691_a,(II)Lnet/minecraft/util/IIcon;,net/minecraft/block/BlockTallGrass/getIcon,(II)Lnet/minecraft/util/IIcon;
ak/a,()I,net/minecraft/command/CommandDebug/func_82362_a,()I,net/minecraft/command/CommandDebug/getRequiredPermissionLevel,()I
ahu/a,(Lsx;)Ljava/util/List;,net/minecraft/world/biome/BiomeGenBase/func_76747_a,(Lnet/minecraft/entity/EnumCreatureType;)Ljava/util/List;,net/minecraft/world/biome/BiomeGenBase/getSpawnableList,(Lnet/minecraft/entity/EnumCreatureType;)Ljava/util/List;
anl/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockSkull/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockSkull/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
vz/a,(Lsv;)V,net/minecraft/village/Village/func_75575_a,(Lnet/minecraft/entity/EntityLivingBase;)V,net/minecraft/village/Village/addOrRenewAgressor,(Lnet/minecraft/entity/EntityLivingBase;)V
aoi/b,(Lahl;III)Z,net/minecraft/block/BlockWall/func_149655_b,(Lnet/minecraft/world/IBlockAccess;III)Z,net/minecraft/block/BlockWall/getBlocksMovement,(Lnet/minecraft/world/IBlockAccess;III)Z
yf/bT,()Z,net/minecraft/entity/monster/EntityMagmaCube/func_70800_m,()Z,net/minecraft/entity/monster/EntityMagmaCube/canDamagePlayer,()Z
net/minecraft/realms/Tezzelator/vertexUV,(DDDDD)V,net/minecraft/realms/Tezzelator/vertexUV,(DDDDD)V,net/minecraft/realms/Tezzelator/vertexUV,(DDDDD)V
ss/j,(Lsa;)Z,net/minecraft/entity/EntityHanging/func_85031_j,(Lnet/minecraft/entity/Entity;)Z,net/minecraft/entity/EntityHanging/hitByEntity,(Lnet/minecraft/entity/Entity;)Z
yq/bC,()V,net/minecraft/entity/monster/EntityZombie/func_82164_bB,()V,net/minecraft/entity/monster/EntityZombie/addRandomArmor,()V
brf/a,(Lbqf;)V,net/minecraft/client/resources/ResourcePackRepository$Entry/func_110518_a,(Lnet/minecraft/client/renderer/texture/TextureManager;)V,net/minecraft/client/resources/ResourcePackRepository$Entry/bindTexturePackIcon,(Lnet/minecraft/client/renderer/texture/TextureManager;)V
bch/b,(I)Lbci;,net/minecraft/client/gui/GuiListExtended/func_148180_b,(I)Lnet/minecraft/client/gui/GuiListExtended$IGuiListEntry;,net/minecraft/client/gui/GuiListExtended/getListEntry,(I)Lnet/minecraft/client/gui/GuiListExtended$IGuiListEntry;
apx/a,([Lapz;)V,net/minecraft/world/chunk/Chunk/func_76602_a,([Lnet/minecraft/world/chunk/storage/ExtendedBlockStorage;)V,net/minecraft/world/chunk/Chunk/setStorageArrays,([Lnet/minecraft/world/chunk/storage/ExtendedBlockStorage;)V
yf/bU,()I,net/minecraft/entity/monster/EntityMagmaCube/func_70805_n,()I,net/minecraft/entity/monster/EntityMagmaCube/getAttackStrength,()I
ais/k,()Lahu;,net/minecraft/world/biome/BiomeGenSavanna/func_150566_k,()Lnet/minecraft/world/biome/BiomeGenBase;,net/minecraft/world/biome/BiomeGenSavanna/createMutation,()Lnet/minecraft/world/biome/BiomeGenBase;
ald/a,(Laji;I)Z,net/minecraft/block/BlockFlowerPot/func_149928_a,(Lnet/minecraft/block/Block;I)Z,net/minecraft/block/BlockFlowerPot/func_149928_a,(Lnet/minecraft/block/Block;I)Z
ayi/a,(Ldh;)V,net/minecraft/world/storage/MapData/func_76184_a,(Lnet/minecraft/nbt/NBTTagCompound;)V,net/minecraft/world/storage/MapData/readFromNBT,(Lnet/minecraft/nbt/NBTTagCompound;)V
yf/bW,()Z,net/minecraft/entity/monster/EntityMagmaCube/func_70804_p,()Z,net/minecraft/entity/monster/EntityMagmaCube/makesSoundOnLand,()Z
alh/b,(Lahb;Ljava/util/Random;III)V,net/minecraft/block/BlockGrass/func_149853_b,(Lnet/minecraft/world/World;Ljava/util/Random;III)V,net/minecraft/block/BlockGrass/func_149853_b,(Lnet/minecraft/world/World;Ljava/util/Random;III)V
bkr/call,()Ljava/lang/Object;,net/minecraft/client/particle/EffectRenderer$4/call,()Ljava/lang/Object;,net/minecraft/client/particle/EffectRenderer$4/call,()Ljava/lang/Object;
